,language,architecture,n_models,n_multilingual,mean_n_langs,n_monolingual,n_goldfish,n_english
0,dar,bidirectional,4,1,1,468.0,0,0,1
0,tcy,autoregressive,7,4,2,160.0,2,2,2
0,tcy,bidirectional,7,3,3,307.3333333333333,0,0,3
0,cnh,autoregressive,6,5,2,128.2,3,3,2
0,cnh,bidirectional,6,1,1,468.0,0,0,1
0,nso,autoregressive,101,97,94,50.422680412371136,3,3,94
0,nso,bidirectional,101,4,4,233.25,0,0,4
0,mwl,autoregressive,5,2,0,1.0,2,2,0
0,mwl,bidirectional,5,3,3,307.3333333333333,0,0,3
0,mfe,autoregressive,3,2,2,319.0,0,0,2
0,mfe,bidirectional,3,1,1,468.0,0,0,1
0,fra,autoregressive,6004,5589,5369,10.647879763821793,220,4,5349
0,fra,bidirectional,6004,415,267,13.6,148,0,260
0,kaa,autoregressive,14,11,2,58.81818181818182,9,8,2
0,kaa,bidirectional,14,3,3,307.3333333333333,0,0,3
0,iba,autoregressive,6,5,2,128.2,3,3,2
0,iba,bidirectional,6,1,1,468.0,0,0,1
0,kor,autoregressive,4591,4362,3247,7.758826226501605,1115,4,3236
0,kor,bidirectional,4591,229,82,16.99126637554585,147,0,79
0,mhr,autoregressive,6,3,3,2.0,0,3,0
0,mhr,bidirectional,6,3,3,307.3333333333333,0,0,3
0,pan,autoregressive,246,210,203,48.628571428571426,7,4,199
0,pan,bidirectional,246,36,35,93.30555555555556,1,0,33
0,cce,autoregressive,3,2,2,319.0,0,0,2
0,cce,bidirectional,3,1,1,468.0,0,0,1
0,ood,autoregressive,1,0,0,,0,0,0
0,ood,bidirectional,1,1,1,468.0,0,0,1
0,tsg,autoregressive,3,2,2,319.0,0,0,2
0,tsg,bidirectional,3,1,1,468.0,0,0,1
0,ava,autoregressive,20,12,9,98.0,3,3,7
0,ava,bidirectional,20,8,5,117.125,3,0,3
0,hvn,autoregressive,3,2,2,319.0,0,0,2
0,hvn,bidirectional,3,1,1,468.0,0,0,1
0,glg,autoregressive,159,130,119,54.42307692307692,11,4,116
0,glg,bidirectional,159,29,29,111.44827586206897,0,0,29
0,bos,autoregressive,90,64,56,77.359375,8,8,56
0,bos,bidirectional,90,26,26,109.96153846153847,0,0,25
0,gle,autoregressive,181,153,149,52.3921568627451,4,4,149
0,gle,bidirectional,181,28,28,107.03571428571429,0,0,28
0,msi,autoregressive,2,2,2,319.0,0,0,2
0,msi,bidirectional,2,0,0,,0,0,0
0,rup,autoregressive,3,0,0,,0,0,0
0,rup,bidirectional,3,3,3,307.3333333333333,0,0,3
0,twi,autoregressive,111,106,106,45.14150943396226,0,3,102
0,twi,bidirectional,111,5,3,99.8,2,0,2
0,yid,autoregressive,140,122,71,32.08196721311475,51,8,66
0,yid,bidirectional,140,18,18,128.44444444444446,0,0,18
0,mgh,autoregressive,5,4,2,160.0,2,2,2
0,mgh,bidirectional,5,1,1,468.0,0,0,1
0,hau,autoregressive,109,73,68,70.61643835616438,5,4,65
0,hau,bidirectional,109,36,33,72.58333333333333,3,0,30
0,ady,autoregressive,6,5,2,128.2,3,3,2
0,ady,bidirectional,6,1,1,468.0,0,0,1
0,fij,autoregressive,11,9,6,128.77777777777777,3,3,6
0,fij,bidirectional,11,2,2,277.5,0,0,2
0,min,autoregressive,18,9,9,108.66666666666667,0,3,6
0,min,bidirectional,18,9,9,156.44444444444446,0,0,8
0,qub,autoregressive,3,2,2,319.0,0,0,2
0,qub,bidirectional,3,1,1,468.0,0,0,1
0,jam,autoregressive,5,2,2,319.0,0,0,2
0,jam,bidirectional,5,3,3,307.3333333333333,0,0,3
0,ewe,autoregressive,20,18,14,76.16666666666667,4,3,14
0,ewe,bidirectional,20,2,2,242.5,0,0,2
0,cbk,autoregressive,5,2,2,319.0,0,0,2
0,cbk,bidirectional,5,3,3,307.3333333333333,0,0,3
0,tet,autoregressive,9,6,3,107.16666666666667,3,3,3
0,tet,bidirectional,9,3,3,307.3333333333333,0,0,3
0,bug,autoregressive,6,3,0,1.0,3,3,0
0,bug,bidirectional,6,3,3,159.66666666666666,0,0,1
0,dtp,autoregressive,3,2,2,319.0,0,0,2
0,dtp,bidirectional,3,1,1,468.0,0,0,1
0,iso,autoregressive,5,4,2,160.0,2,2,2
0,iso,bidirectional,5,1,1,468.0,0,0,1
0,azb,autoregressive,9,6,6,33.666666666666664,0,4,2
0,azb,bidirectional,9,3,3,307.3333333333333,0,0,3
0,gan,autoregressive,1,1,0,1.0,1,0,0
0,gan,bidirectional,1,0,0,,0,0,0
0,ita,autoregressive,4916,4684,4483,10.970751494449189,201,4,4467
0,ita,bidirectional,4916,232,176,20.538793103448278,56,0,170
0,apc,autoregressive,3,2,2,2.0,0,2,0
0,apc,bidirectional,3,1,1,468.0,0,0,1
0,ksh,autoregressive,3,0,0,,0,0,0
0,ksh,bidirectional,3,3,3,307.3333333333333,0,0,3
0,mal,autoregressive,286,241,226,43.21576763485477,15,6,220
0,mal,bidirectional,286,45,40,75.13333333333334,5,0,38
0,poh,autoregressive,1,0,0,,0,0,0
0,poh,bidirectional,1,1,1,468.0,0,0,1
0,acm,autoregressive,1,0,0,,0,0,0
0,acm,bidirectional,1,1,1,468.0,0,0,1
0,chk,autoregressive,3,2,2,319.0,0,0,2
0,chk,bidirectional,3,1,1,468.0,0,0,1
0,bua,autoregressive,10,9,6,72.22222222222223,3,6,3
0,bua,bidirectional,10,1,1,468.0,0,0,1
0,nog,autoregressive,3,2,2,319.0,0,0,2
0,nog,bidirectional,3,1,1,468.0,0,0,1
0,tha,autoregressive,3038,2935,2873,11.058603066439524,62,4,2865
0,tha,bidirectional,3038,103,79,35.49514563106796,24,0,78
0,ang,autoregressive,7,4,2,160.0,2,2,2
0,ang,bidirectional,7,3,3,307.3333333333333,0,0,3
0,uzn,autoregressive,9,8,8,2.0,0,8,0
0,uzn,bidirectional,9,1,1,468.0,0,0,1
0,arb,autoregressive,2103,1826,1658,16.720700985761226,168,13,1633
0,arb,bidirectional,2103,277,143,17.223826714801444,134,0,130
0,ilo,autoregressive,11,8,5,121.375,3,3,5
0,ilo,bidirectional,11,3,3,307.3333333333333,0,0,3
0,quz,autoregressive,3,2,2,2.0,0,2,0
0,quz,bidirectional,3,1,1,468.0,0,0,1
0,vec,autoregressive,12,9,5,108.0,4,4,5
0,vec,bidirectional,12,3,3,307.3333333333333,0,0,3
0,pls,autoregressive,1,0,0,,0,0,0
0,pls,bidirectional,1,1,1,468.0,0,0,1
0,mus,autoregressive,1,0,0,,0,0,0
0,mus,bidirectional,1,1,1,468.0,0,0,1
0,prs,autoregressive,8,7,7,48.285714285714285,0,4,3
0,prs,bidirectional,8,1,1,468.0,0,0,1
0,kek,autoregressive,3,2,2,319.0,0,0,2
0,kek,bidirectional,3,1,1,468.0,0,0,1
0,dsb,autoregressive,3,0,0,,0,0,0
0,dsb,bidirectional,3,3,3,307.3333333333333,0,0,3
0,ast,autoregressive,31,23,18,54.04347826086956,5,4,17
0,ast,bidirectional,31,8,8,174.875,0,0,8
0,nor,autoregressive,381,327,293,27.440366972477065,34,12,263
0,nor,bidirectional,381,54,52,45.75925925925926,2,0,28
0,urd,autoregressive,321,239,225,47.1673640167364,14,4,223
0,urd,bidirectional,321,82,71,42.292682926829265,11,0,67
0,kea,autoregressive,14,13,10,79.46153846153847,3,3,10
0,kea,bidirectional,14,1,1,468.0,0,0,1
0,tls,autoregressive,0,0,0,,0,0,0
0,tls,bidirectional,0,0,0,,0,0,0
0,kac,autoregressive,6,5,2,128.2,3,3,2
0,kac,bidirectional,6,1,1,468.0,0,0,1
0,maz,autoregressive,3,2,2,319.0,0,0,2
0,maz,bidirectional,3,1,1,468.0,0,0,1
0,quh,autoregressive,3,2,2,319.0,0,0,2
0,quh,bidirectional,3,1,1,468.0,0,0,1
0,acr,autoregressive,1,0,0,,0,0,0
0,acr,bidirectional,1,1,1,468.0,0,0,1
0,pus,autoregressive,84,51,46,84.72549019607843,5,8,42
0,pus,bidirectional,84,33,33,85.06060606060606,0,0,30
0,gag,autoregressive,5,2,2,319.0,0,0,2
0,gag,bidirectional,5,3,3,307.3333333333333,0,0,3
0,nzi,autoregressive,5,4,2,160.0,2,2,2
0,nzi,bidirectional,5,1,1,468.0,0,0,1
0,hin,autoregressive,2786,2630,2587,12.811406844106465,43,8,2579
0,hin,bidirectional,2786,156,141,30.076923076923077,15,0,127
0,bcl,autoregressive,5,2,2,2.0,0,2,0
0,bcl,bidirectional,5,3,3,307.3333333333333,0,0,3
0,cor,autoregressive,12,8,6,137.25,2,2,6
0,cor,bidirectional,12,4,4,237.75,0,0,4
0,inh,autoregressive,3,2,0,1.0,2,2,0
0,inh,bidirectional,3,1,1,468.0,0,0,1
0,jbo,autoregressive,3,0,0,,0,0,0
0,jbo,bidirectional,3,3,3,307.3333333333333,0,0,3
0,yua,autoregressive,6,5,2,128.2,3,3,2
0,yua,bidirectional,6,1,1,468.0,0,0,1
0,cab,autoregressive,3,2,2,319.0,0,0,2
0,cab,bidirectional,3,1,1,468.0,0,0,1
0,lez,autoregressive,5,2,0,1.0,2,2,0
0,lez,bidirectional,5,3,3,307.3333333333333,0,0,3
0,ndo,autoregressive,3,2,2,161.5,0,0,2
0,ndo,bidirectional,3,1,1,468.0,0,0,1
0,kbd,autoregressive,10,6,2,107.0,4,3,2
0,kbd,bidirectional,10,4,4,231.25,0,0,3
0,zho,autoregressive,6398,5993,5405,7.075588186217254,588,20,5353
0,zho,bidirectional,6398,405,196,12.207407407407407,209,0,189
0,meo,autoregressive,4,4,4,160.5,0,2,2
0,meo,bidirectional,4,0,0,,0,0,0
0,yao,autoregressive,1,0,0,,0,0,0
0,yao,bidirectional,1,1,1,468.0,0,0,1
0,lit,autoregressive,207,162,154,51.60493827160494,8,4,152
0,lit,bidirectional,207,45,44,81.95555555555555,1,0,44
0,vol,autoregressive,12,4,1,46.5,3,3,1
0,vol,bidirectional,12,8,8,174.875,0,0,8
0,afb,autoregressive,4,3,3,2.0,0,3,0
0,afb,bidirectional,4,1,1,468.0,0,0,1
0,nya,autoregressive,122,121,117,50.12396694214876,4,4,117
0,nya,bidirectional,122,1,1,468.0,0,0,1
0,yor,autoregressive,195,179,174,52.79329608938548,5,4,171
0,yor,bidirectional,195,16,15,104.0625,1,0,14
0,kin,autoregressive,113,107,99,47.981308411214954,8,4,99
0,kin,bidirectional,113,6,6,164.83333333333334,0,0,5
0,tdx,autoregressive,5,4,4,160.5,0,2,2
0,tdx,bidirectional,5,1,1,468.0,0,0,1
0,sin,autoregressive,127,86,42,45.01162790697674,44,4,42
0,sin,bidirectional,127,41,29,68.90243902439025,12,0,26
0,ydd,autoregressive,5,4,4,2.0,0,4,0
0,ydd,bidirectional,5,1,1,468.0,0,0,1
0,aii,autoregressive,1,0,0,,0,0,0
0,aii,bidirectional,1,1,1,468.0,0,0,1
0,yue,autoregressive,34,32,13,33.0625,19,3,10
0,yue,bidirectional,34,2,1,234.5,1,0,1
0,nah,autoregressive,1,0,0,,0,0,0
0,nah,bidirectional,1,1,1,468.0,0,0,1
0,nnb,autoregressive,7,6,4,119.66666666666667,2,2,4
0,nnb,bidirectional,7,1,1,468.0,0,0,1
0,shn,autoregressive,8,7,2,91.85714285714286,5,3,2
0,shn,bidirectional,8,1,1,468.0,0,0,1
0,wln,autoregressive,10,7,3,117.85714285714286,4,4,3
0,wln,bidirectional,10,3,3,307.3333333333333,0,0,3
0,kan,autoregressive,252,217,210,46.525345622119815,7,4,204
0,kan,bidirectional,252,35,33,95.48571428571428,2,0,33
0,slv,autoregressive,248,196,187,42.72959183673469,9,4,185
0,slv,bidirectional,248,52,41,67.57692307692308,11,0,40
0,gym,autoregressive,10,9,9,72.88888888888889,0,0,9
0,gym,bidirectional,10,1,1,468.0,0,0,1
0,mic,autoregressive,1,0,0,,0,0,0
0,mic,bidirectional,1,1,1,468.0,0,0,1
0,ctp,autoregressive,1,0,0,,0,0,0
0,ctp,bidirectional,1,1,1,468.0,0,0,1
0,ell,autoregressive,470,366,333,32.80054644808743,33,8,330
0,ell,bidirectional,470,104,81,39.625,23,0,79
0,bew,autoregressive,10,8,2,80.5,6,6,2
0,bew,bidirectional,10,2,2,238.5,0,0,1
0,ful,autoregressive,37,37,34,102.13513513513513,3,6,31
0,ful,bidirectional,37,0,0,,0,0,0
0,mzn,autoregressive,3,0,0,,0,0,0
0,mzn,bidirectional,3,3,3,307.3333333333333,0,0,3
0,gug,autoregressive,1,0,0,,0,0,0
0,gug,bidirectional,1,1,1,468.0,0,0,1
0,mdf,autoregressive,7,4,2,160.0,2,2,2
0,mdf,bidirectional,7,3,3,307.3333333333333,0,0,3
0,ukr,autoregressive,609,525,493,29.80952380952381,32,4,490
0,ukr,bidirectional,609,84,67,45.654761904761905,17,0,57
0,sqi,autoregressive,85,53,40,74.83018867924528,13,8,36
0,sqi,bidirectional,85,32,32,105.125,0,0,32
0,heb,autoregressive,469,402,375,30.860696517412936,27,4,373
0,heb,bidirectional,469,67,47,53.149253731343286,20,0,44
0,knv,autoregressive,1,0,0,,0,0,0
0,knv,bidirectional,1,1,1,468.0,0,0,1
0,fip,autoregressive,2,2,2,319.0,0,0,2
0,fip,bidirectional,2,0,0,,0,0,0
0,plt,autoregressive,5,4,4,2.0,0,4,0
0,plt,bidirectional,5,1,1,468.0,0,0,1
0,kas,autoregressive,16,14,12,86.14285714285714,2,2,12
0,kas,bidirectional,16,2,2,277.5,0,0,2
0,bem,autoregressive,6,5,2,16.2,3,3,2
0,bem,bidirectional,6,1,1,468.0,0,0,1
0,div,autoregressive,20,16,6,72.875,10,4,6
0,div,bidirectional,20,4,4,253.0,0,0,4
0,ton,autoregressive,9,6,3,137.33333333333334,3,3,3
0,ton,bidirectional,9,3,3,307.3333333333333,0,0,3
0,xmf,autoregressive,5,2,0,1.0,2,2,0
0,xmf,bidirectional,5,3,3,307.3333333333333,0,0,3
0,new,autoregressive,50,7,4,92.14285714285714,3,3,2
0,new,bidirectional,50,43,12,36.906976744186046,31,0,12
0,nbl,autoregressive,6,4,4,240.25,0,0,4
0,nbl,bidirectional,6,2,2,239.5,0,0,2
0,slk,autoregressive,218,163,153,49.441717791411044,10,4,150
0,slk,bidirectional,218,55,44,64.30909090909091,11,0,43
0,nep,autoregressive,311,269,254,43.85130111524163,15,4,254
0,nep,bidirectional,311,42,34,80.45238095238095,8,0,31
0,mai,autoregressive,14,9,6,110.22222222222223,3,3,6
0,mai,bidirectional,14,5,5,189.6,0,0,3
0,pcm,autoregressive,11,8,5,16.375,3,3,5
0,pcm,bidirectional,11,3,3,161.66666666666666,0,0,2
0,kha,autoregressive,6,5,2,128.2,3,3,2
0,kha,bidirectional,6,1,1,468.0,0,0,1
0,tiv,autoregressive,5,4,2,160.0,2,2,2
0,tiv,bidirectional,5,1,1,468.0,0,0,1
0,btx,autoregressive,3,2,2,319.0,0,0,2
0,btx,bidirectional,3,1,1,468.0,0,0,1
0,ori,autoregressive,213,187,181,50.336898395721924,6,4,181
0,ori,bidirectional,213,26,25,99.6923076923077,1,0,23
0,gom,autoregressive,12,9,3,73.88888888888889,6,6,3
0,gom,bidirectional,12,3,3,164.66666666666666,0,0,1
0,tuc,autoregressive,3,2,2,319.0,0,0,2
0,tuc,bidirectional,3,1,1,468.0,0,0,1
0,qvi,autoregressive,3,2,2,319.0,0,0,2
0,qvi,bidirectional,3,1,1,468.0,0,0,1
0,meu,autoregressive,3,2,2,319.0,0,0,2
0,meu,bidirectional,3,1,1,468.0,0,0,1
0,aka,autoregressive,117,109,105,48.92660550458716,4,6,101
0,aka,bidirectional,117,8,6,61.5,2,0,2
0,hil,autoregressive,6,5,2,128.2,3,3,2
0,hil,bidirectional,6,1,1,468.0,0,0,1
0,haw,autoregressive,7,6,2,107.0,4,4,2
0,haw,bidirectional,7,1,1,468.0,0,0,1
0,kur,autoregressive,78,55,46,79.92727272727272,9,15,39
0,kur,bidirectional,78,23,22,89.78260869565217,1,0,22
0,rmc,autoregressive,5,4,2,160.0,2,2,2
0,rmc,bidirectional,5,1,1,468.0,0,0,1
0,kpv,autoregressive,3,2,2,2.0,0,2,0
0,kpv,bidirectional,3,1,1,468.0,0,0,1
0,cha,autoregressive,17,13,13,92.38461538461539,0,0,13
0,cha,bidirectional,17,4,4,121.5,0,0,3
0,kaz,autoregressive,104,63,54,84.5079365079365,9,4,54
0,kaz,bidirectional,104,41,40,82.78048780487805,1,0,39
0,hus,autoregressive,3,2,2,319.0,0,0,2
0,hus,bidirectional,3,1,1,468.0,0,0,1
0,jav,autoregressive,172,136,126,45.72794117647059,10,4,122
0,jav,bidirectional,172,36,28,84.33333333333333,8,0,27
0,tvl,autoregressive,3,2,2,319.0,0,0,2
0,tvl,bidirectional,3,1,1,468.0,0,0,1
0,kat,autoregressive,98,63,55,85.44444444444444,8,6,55
0,kat,bidirectional,98,35,33,95.85714285714286,2,0,33
0,rki,autoregressive,2,2,2,319.0,0,0,2
0,rki,bidirectional,2,0,0,,0,0,0
0,xal,autoregressive,10,9,7,98.11111111111111,2,2,7
0,xal,bidirectional,10,1,1,468.0,0,0,1
0,san,autoregressive,71,48,38,67.6875,10,6,38
0,san,bidirectional,71,23,23,106.43478260869566,0,0,20
0,ind,autoregressive,972,771,661,23.95330739299611,110,4,640
0,ind,bidirectional,972,201,71,19.104477611940297,130,0,66
0,nan,autoregressive,6,3,3,2.0,0,3,0
0,nan,bidirectional,6,3,3,307.3333333333333,0,0,3
0,bho,autoregressive,12,9,6,112.77777777777777,3,3,6
0,bho,bidirectional,12,3,3,307.3333333333333,0,0,3
0,epo,autoregressive,74,52,46,83.59615384615384,6,4,46
0,epo,bidirectional,74,22,22,114.5909090909091,0,0,22
0,dty,autoregressive,3,0,0,,0,0,0
0,dty,bidirectional,3,3,3,307.3333333333333,0,0,3
0,noa,autoregressive,3,2,2,319.0,0,0,2
0,noa,bidirectional,3,1,1,468.0,0,0,1
0,spa,autoregressive,5646,5092,4860,11.027297721916732,232,4,4820
0,spa,bidirectional,5646,554,263,10.176895306859207,291,0,256
0,xav,autoregressive,1,0,0,,0,0,0
0,xav,bidirectional,1,1,1,468.0,0,0,1
0,hsb,autoregressive,7,4,0,1.0,4,3,0
0,hsb,bidirectional,7,3,3,307.3333333333333,0,0,3
0,tso,autoregressive,103,100,97,51.46,3,3,97
0,tso,bidirectional,103,3,3,163.66666666666666,0,0,2
